"SHRINE_PATH","HERON_PATH"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\10 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\10 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\1 day\","\\ACT_VISIT\ACT\Visit Details\Length of stay\1 day\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\2 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\2 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\3 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\3 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\4 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\4 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\5 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\5 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\6 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\6 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\7 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\7 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\8 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\8 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\9 days\","\\ACT_VISIT\ACT\Visit Details\Length of stay\9 days\"
"\\ACT_VISIT\ACT\Visit Details\Length of stay\","\\ACT_VISIT\ACT\Visit Details\Length of stay\"
"\\ACT_VISIT\ACT\Visit Details\Version\","\\ACT_VISIT\ACT\Visit Details\Version\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\","\\ACT_VISIT\ACT\Visit Details\Visit type\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\ER visit admit to inpatient\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\EI\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\ER visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\ED\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Inpatient visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\IP\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\No Information\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\NI\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Non-Acute visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\IS\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Other Outpatient visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\OT\"
"\\ACT_VISIT\ACT\Visit Details\Visit type\Outpatient visit\","\\i2b2_Visit Details\i2b2\Visit Details\ENC_TYPE\AV\"
